Gene	Score
SELENBP1	-0.8658636670228053
FAM171A1	-0.8657994146460266
GALNT10	-0.8657906017934458
SLC16A12	-0.8657902691487308
TBRG4	-0.8657683750532253
LRIG1	-0.8657492292408708
SSTR2	-0.8657465423648623
BCL2L11	-0.8657428450318548
PRKAG1	-0.8657293735694475
TBCD	-0.8657162505501418
IFT140	-0.86570312686029
AURKC	-0.8656759848233392
MYOZ3	-0.8656735774211433
RGS9BP	-0.8656027217477912
TMEM14C	-0.8655748498651099
EIF4B	-0.8655512000860388
GAB1	-0.865522663772113
JOSD2	-0.8655206504539904
RNF8	-0.8655062802606498
TMEM86B	-0.865495561914789
ANKIB1	-0.8654739501781393
TUBGCP2	-0.8654596515510106
KHDRBS3	-0.8654447387067357
EMCN	-0.8654423638792053
CHST10	-0.8654270621540809
CASP9	-0.8654253708423659
MTHFD1	-0.8654180392783216
GGT5	-0.8654015989989843
DNAJB2	-0.8653924134820543
PLSCR4	-0.8653717548528931
NPB	-0.8653569674046857
CPEB3	-0.8653414378838952
YIPF5	-0.8653109716158294
ELAC2	-0.8652937378856288
RECQL4	-0.8652714683064288
FBXO10	-0.8652654865846383
TMUB2	-0.8652545199222481
ZWINT	-0.865156393207431
DMWD	-0.8651480453882787
FBXO31	-0.8650941213210817
TMEM63B	-0.8650611745857375
CLCN2	-0.8650457168476361
POLR3D	-0.8650168292178761
GJB2	-0.8650142248535181
SCN4B	-0.8650047579634016
PFKM	-0.8650021922014584
PSME3	-0.8649076188018464
HDAC7	-0.8648573168132211
OSBP2	-0.8648544221679717
BTRC	-0.8648466645377646
GK5	-0.8648068185502604
CTNNA1	-0.8648044115958387
SMO	-0.8648022844488834
ZMYND11	-0.8647883810293391
RSPO1	-0.8647882058394992
SMOX	-0.864744206514527
DAP3	-0.8647424211267266
COMMD4	-0.8647300070469617
LMCD1	-0.8647256682792986
UCP2	-0.8647249244981133
TCEAL6	-0.8646804826135692
DONSON	-0.8646569742374421
ZKSCAN1	-0.8646531858833789
OR4K1	-0.864593865982319
DUT	-0.8645749847015891
RING1	-0.8644984138581656
ZNF652	-0.8644717405709461
SH3TC2	-0.8644273144637769
TRUB2	-0.8644157868595238
TPK1	-0.8644154156528062
PPP1CB	-0.8644047381342358
ABHD14A	-0.8642803644432072
CCDC60	-0.8642493056526587
SPECC1	-0.8642438375309817
ANKH	-0.8642105073251934
VLDLR	-0.8641256997578948
ROBO4	-0.8639908325655568
AP1B1	-0.8639400537457643
OAT	-0.8638491705411302
PRKACA	-0.8638430187787028
ZZZ3	-0.8638270674367284
ADD2	-0.8638116068615065
DAPK2	-0.8638072319224307
PRMT7	-0.8637671162979434
RHOBTB3	-0.8637445662808828
ANO6	-0.8637394573635804
MYO1E	-0.8637346494118564
SLC25A38	-0.8637258702195427
COQ10B	-0.8637053724554937
RMND5B	-0.863620844621916
PBX1	-0.8636022090241856
BLCAP	-0.8635194381619996
PIGQ	-0.8634563496429907
PCYT1B	-0.8634384464755502
C1orf198	-0.8634299687000089
C8orf82	-0.8634056820689929
GRK4	-0.8632800041372057
PEAR1	-0.8632513661139128
DYRK1B	-0.8632408897412814
DCLK2	-0.8631654568301211
CRYL1	-0.8631522323989334
KCNJ12	-0.8631468993448747
GRB10	-0.8631460856876503
TCEAL6	-0.8631094279989994
FGFRL1	-0.8630824246642355
PNPLA6	-0.8629616360865704
GPR82	-0.8629474925428786
CPXM1	-0.8628758796334269
APEH	-0.8628611684714145
MRPS27	-0.8628416978222947
PKD1	-0.8627018180575972
TPRKB	-0.8626584548778929
ACSS2	-0.8626567302241598
NXPH3	-0.8626264443258903
SVOP	-0.8626080301498426
CNR2	-0.8625612787055964
XRCC5	-0.8625356881723212
POLDIP2	-0.8624847178652283
BDH2	-0.8624723415614864
TMTC1	-0.8624537601018313
UNC5CL	-0.8624426558483451
ACHE	-0.8624043034209998
TOP1MT	-0.86235874386249
PTPRE	-0.862352727404818
CERCAM	-0.8623213749202343
HDAC10	-0.8622893963345889
CASKIN2	-0.8622608769990514
LPCAT3	-0.8622493653229466
ATP4B	-0.8622422751071506
NKX2-2	-0.8622005987965484
SNCA	-0.8621458341274045
TNNI1	-0.8621105607221389
CARHSP1	-0.8620911187676803
NECAP2	-0.8620743526895622
PPOX	-0.8620729190977189
RNF123	-0.8620516893103057
RFX2	-0.8619896286290621
COX6B2	-0.8619104267726956
PTK2	-0.8618721562272078
TDG	-0.8616517128080134
TIMP2	-0.8615209013863857
TARS3	-0.861515002969513
FADS2	-0.8614962388060537
PLXDC1	-0.8614864803120849
PCYT2	-0.8613302714631568
ZNF800	-0.8612768400412221
RRM1	-0.8612162504091364
KCNN4	-0.8611274153586553
EPS15	-0.8610112750525465
BECN1	-0.8609784728962078
FAM110C	-0.8608650173632931
GSE1	-0.8608251679760821
ARL2	-0.8607545999520462
RAF1	-0.860572747808445
AGAP1	-0.8605416046119394
APLP2	-0.8604612191409718
GPR142	-0.8604221458918435
FGF5	-0.8603872103723906
KLHL21	-0.8603531063165488
